
MA0154.3,EBF1,Rel homology region (RHR) factors,Early B-Cell Factor-related factors
MA0154.4,EBF1,Rel homology region (RHR) factors,Early B-Cell Factor-related factors
MA0154.5,EBF1,Rel homology region (RHR) factors,Early B-Cell Factor-related factors
MA1637.1,EBF3,Rel homology region (RHR) factors,Early B-Cell Factor-related factors
MA1637.2,EBF3,Rel homology region (RHR) factors,Early B-Cell Factor-related factors
MA0162.2,EGR1,C2H2 zinc finger factors,Three-zinc finger Kruppel-related
MA0162.3,EGR1,C2H2 zinc finger factors,Three-zinc finger Kruppel-related
MA0162.4,EGR1,C2H2 zinc finger factors,Three-zinc finger Kruppel-related
MA0162.5,EGR1,C2H2 zinc finger factors,Three-zinc finger Kruppel-related
MA0472.2,EGR2,C2H2 zinc finger factors,Three-zinc finger Kruppel-related
MA0732.1,EGR3,C2H2 zinc finger factors,Three-zinc finger Kruppel-related
MA0732.2,EGR3,C2H2 zinc finger factors,Three-zinc finger Kruppel-related
MA0733.1,EGR4,C2H2 zinc finger factors,Three-zinc finger Kruppel-related
MA0733.2,EGR4,C2H2 zinc finger factors,Three-zinc finger Kruppel-related
MA0598.1,EHF,Tryptophan cluster factors,Ets-related
MA0598.2,EHF,Tryptophan cluster factors,Ets-related
MA0598.3,EHF,Tryptophan cluster factors,Ets-related
MA0598.4,EHF,Tryptophan cluster factors,Ets-related
MA0473.1,ELF1,Tryptophan cluster factors,Ets-related
MA0473.2,ELF1,Tryptophan cluster factors,Ets-related
MA0473.3,ELF1,Tryptophan cluster factors,Ets-related
MA0473.4,ELF1,Tryptophan cluster factors,Ets-related
MA1483.1,ELF2,Tryptophan cluster factors,Ets-related
MA1483.2,ELF2,Tryptophan cluster factors,Ets-related
MA1483.3,ELF2,Tryptophan cluster factors,Ets-related
MA0640.1,ELF3,Tryptophan cluster factors,Ets-related
MA0640.2,ELF3,Tryptophan cluster factors,Ets-related
MA0640.3,ELF3,Tryptophan cluster factors,Ets-related
MA0641.1,ELF4,Tryptophan cluster factors,Ets-related
MA0136.1,ELF5,Tryptophan cluster factors,Ets-related
MA0136.2,ELF5,Tryptophan cluster factors,Ets-related
MA0028.1,ELK1,Tryptophan cluster factors,Ets-related
MA0028.2,ELK1,Tryptophan cluster factors,Ets-related
MA0028.3,ELK1,Tryptophan cluster factors,Ets-related
MA1931.1,ELK1::HOXA1,Tryptophan cluster factors, Homeo domain factors,Ets-related, HOX-related factors
MA1932.1,ELK1::HOXB13,Tryptophan cluster factors, Homeo domain factors,Ets-related, HOX-related factors
MA1932.2,ELK1::HOXB13,Tryptophan cluster factors, Homeo domain factors,Ets-related, HOX-related factors
MA1933.1,ELK1::SREBF2,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, bHLH-ZIP
MA1933.2,ELK1::SREBF2,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, bHLH-ZIP
MA0759.1,ELK3,Tryptophan cluster factors,Ets-related
MA0759.2,ELK3,Tryptophan cluster factors,Ets-related
MA0759.3,ELK3,Tryptophan cluster factors,Ets-related
MA0076.1,ELK4,Tryptophan cluster factors,Ets-related
MA0076.2,ELK4,Tryptophan cluster factors,Ets-related
MA0076.3,ELK4,Tryptophan cluster factors,Ets-related
MA0612.1,EMX1,Homeo domain factors,NK
MA0612.2,EMX1,Homeo domain factors,NK
MA0612.3,EMX1,Homeo domain factors,NK
MA0886.1,EMX2,Homeo domain factors,NK
MA0886.2,EMX2,Homeo domain factors,NK
MA0027.2,EN1,Homeo domain factors,NK
MA0027.3,EN1,Homeo domain factors,NK
MA0642.1,EN2,Homeo domain factors,NK
MA0642.2,EN2,Homeo domain factors,NK
MA0642.3,EN2,Homeo domain factors,NK
MA0800.1,EOMES,T-Box factors,TBrain-related factors
MA0800.2,EOMES,T-Box factors,TBrain-related factors
MA2325.1,EPAS1,Basic helix-loop-helix factors (bHLH),PAS domain factors
MA0760.1,ERF,Tryptophan cluster factors,Ets-related
MA0760.2,ERF,Tryptophan cluster factors,Ets-related
MA1934.1,ERF::FIGLA,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, Tal-related
MA1934.2,ERF::FIGLA,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, Tal-related
MA1935.1,ERF::FOXI1,Tryptophan cluster factors, Fork head/winged helix factors,Ets-related, FOX
MA1935.2,ERF::FOXI1,Tryptophan cluster factors, Fork head/winged helix factors,Ets-related, FOX
MA1936.1,ERF::FOXO1,Tryptophan cluster factors, Fork head/winged helix factors,Ets-related, FOX
MA1936.2,ERF::FOXO1,Tryptophan cluster factors, Fork head/winged helix factors,Ets-related, FOX
MA1937.1,ERF::HOXB13,Tryptophan cluster factors, Homeo domain factors,Ets-related, HOX-related factors
MA1937.2,ERF::HOXB13,Tryptophan cluster factors, Homeo domain factors,Ets-related, HOX-related factors
MA1938.1,ERF::NHLH1,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, Tal-related
MA1938.2,ERF::NHLH1,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, Tal-related
MA1939.1,ERF::SREBF2,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, bHLH-ZIP
MA1939.2,ERF::SREBF2,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, bHLH-ZIP
MA0474.2,ERG,Tryptophan cluster factors,Ets-related
MA0112.1,ESR1,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3)
MA0112.2,ESR1,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3)
MA0112.3,ESR1,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3)
MA0112.4,ESR1,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3)
MA0258.1,ESR2,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3)
MA0258.2,ESR2,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3)
MA0592.1,ESRRA,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3)
MA0592.3,ESRRA,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3)
MA0592.4,ESRRA,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3)
MA0141.3,ESRRB,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3)
MA0141.4,ESRRB,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3)
MA0644.1,ESX1,Homeo domain factors,Paired-related HD factors
MA0644.2,ESX1,Homeo domain factors,Paired-related HD factors
MA0644.3,ESX1,Homeo domain factors,Paired-related HD factors
MA0098.1,ETS1,Tryptophan cluster factors,Ets-related
MA0098.3,ETS1,Tryptophan cluster factors,Ets-related
MA0098.4,ETS1,Tryptophan cluster factors,Ets-related
MA1484.1,ETS2,Tryptophan cluster factors,Ets-related
MA1484.2,ETS2,Tryptophan cluster factors,Ets-related
MA0761.1,ETV1,Tryptophan cluster factors,Ets-related
MA0761.2,ETV1,Tryptophan cluster factors,Ets-related
MA0761.3,ETV1,Tryptophan cluster factors,Ets-related
MA0762.1,ETV2,Tryptophan cluster factors,Ets-related
MA0762.2,ETV2,Tryptophan cluster factors,Ets-related
MA1940.1,ETV2::DRGX,Tryptophan cluster factors, Homeo domain factors,Ets-related, Paired-related HD factors
MA1940.2,ETV2::DRGX,Tryptophan cluster factors, Homeo domain factors,Ets-related, Paired-related HD factors
MA1941.1,ETV2::FIGLA,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, Tal-related
MA1941.2,ETV2::FIGLA,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, Tal-related
MA1942.1,ETV2::FOXI1,Tryptophan cluster factors, Fork head/winged helix factors,Ets-related, FOX
MA1942.2,ETV2::FOXI1,Tryptophan cluster factors, Fork head/winged helix factors,Ets-related, FOX
MA1943.1,ETV2::HOXB13,Tryptophan cluster factors, Homeo domain factors,Ets-related, HOX-related factors
MA1943.2,ETV2::HOXB13,Tryptophan cluster factors, Homeo domain factors,Ets-related, HOX-related factors
MA0763.1,ETV3,Tryptophan cluster factors,Ets-related
MA0763.2,ETV3,Tryptophan cluster factors,Ets-related
MA0764.1,ETV4,Tryptophan cluster factors,Ets-related
MA0764.2,ETV4,Tryptophan cluster factors,Ets-related
MA0764.3,ETV4,Tryptophan cluster factors,Ets-related
MA0764.4,ETV4,Tryptophan cluster factors,Ets-related
MA0765.1,ETV5,Tryptophan cluster factors,Ets-related
MA0765.2,ETV5,Tryptophan cluster factors,Ets-related
MA0765.3,ETV5,Tryptophan cluster factors,Ets-related
MA0765.4,ETV5,Tryptophan cluster factors,Ets-related
MA1944.1,ETV5::DRGX,Tryptophan cluster factors, Homeo domain factors,Ets-related, Paired-related HD factors
