file, cpu, mem(GBs), io(GB), vmem(M), maxvmem(M), nproc, time(s), inputfilesize(B)
MCF7_r5e8_s83_TOBIAS.qsub.sh.o830257, 42:56:52, 131273.06433, 2312.76277, 5.840M, 14.748G, 8, 21955, 53805428378
MCF7_r1e7_s81_TOBIAS.qsub.sh.o830244, 19:31:08, 51443.07463, 696.52315, 5.867M, 13.160G, 8, 10263, 1505321877
K562_r1e7_s6_TOBIAS.qsub.sh.o830226, 23:04:49, 74386.98232, 808.17136, 14.164M, 16.092G, 8, 12225, 1626781097
SKNSH_r1e6_s20_TOBIAS.qsub.sh.o830259, 20:50:44, 55484.96540, 619.77422, 13.223M, 14.523G, 8, 10887, 191884703
GM12878_r1e8_s77_TOBIAS.qsub.sh.o830192, 24:28:18, 80901.38833, 1380.24665, 5.707M, 16.043G, 8, 12931, 12090661778
SKNSH_r1e8_s66_HINT.qsub.sh.o830031, 04:40:22, 26756.44572, 876.08536, 1.301G, 3.132G, 1, 17912, 12404653952
SKNSH_r5e8_s14_HINT.qsub.sh.o1003808, 11:28:36, 73995.01063, 2956.61022, 110.117M, 2.867G, 1, 44065, 55199465067
HEPG2_r1e6_s75_HINT.qsub.sh.o829971, 01:39:31, 3937.27572, 10.80540, 364.977M, 1.180G, 1, 6312, 185702870
SKNSH_r1e7_s33_HINT.qsub.sh.o830027, 01:39:57, 5383.76753, 109.06545, 803.945M, 2.023G, 1, 6664, 1484365991
MCF7_r1e6_s89_HINT.qsub.sh.o830008, 01:05:52, 2286.04460, 11.81908, 357.754M, 1.079G, 1, 4257, 189597038
GM12878_r5e8_s15_HINT.qsub.sh.o829968, 12:11:53, 84630.44434, 3038.90198, 1.402G, 3.297G, 1, 45852, 51406004166
MCF7_r1e8_s97_HINT.qsub.sh.o830014, 04:28:21, 22571.65180, 745.85263, 1.115G, 2.759G, 1, 17354, 12486680306
K562_r5e8_s8_HINT.qsub.sh.o830005, 11:15:50, 77111.30948, 3341.01076, 1.343G, 3.117G, 1, 42496, 62689418636
HEPG2_r5e6_s92_HINT.qsub.sh.o829981, 01:54:51, 5594.95037, 48.88913, 680.371M, 1.826G, 1, 7628, 773322259
HEPG2_r1e7_s79_HINT.qsub.sh.o829975, 01:46:33, 6314.82779, 146.86013, 868.805M, 2.219G, 1, 7085, 1466568832
SKNSH_r5e6_s75_HINT.qsub.sh.o830034, 01:50:27, 5158.54271, 60.02910, 603.531M, 1.774G, 1, 7276, 791344149
MCF7_r1e6_s75_HINT.qsub.sh.o830007, 01:24:07, 2851.07510, 11.89586, 358.539M, 1.055G, 1, 5391, 190019039
MCF7_r1e7_s84_HINT.qsub.sh.o830011, 02:06:39, 6674.03486, 110.60369, 795.359M, 2.074G, 1, 8493, 1505295613
GM12878_r5e6_s50_HINT.qsub.sh.o829962, 01:29:51, 4399.17139, 54.12066, 662.238M, 1.779G, 1, 6043, 765638841
K562_r5e7_s68_HINT.qsub.sh.o830001, 03:48:52, 23762.83360, 705.93587, 1.446G, 3.450G, 1, 15031, 7236060752
HEPG2_r5e7_s95_HINT.qsub.sh.o829984, 03:05:32, 16184.24261, 569.44422, 1.256G, 3.151G, 1, 12169, 6579312675
